date,title,summary,url,source,text_for_nlp,is_tesla_related,is_musk_related
2023-01-11 00:00:00,Tesla plans to spend more than $770 million on Texas factory expansion,Tesla has registered with the state of Texas to expand its electric vehicle factory in Austin this year.,https://www.nbcnews.com/tech/tech-news/tesla-plans-spend-770-million-texas-factory-expansion-rcna65275,NBC,Tesla plans to spend more than $770 million on Texas factory expansion Tesla has registered with the state of Texas to expand its electric vehicle factory in Austin this year.,1,0
2023-01-13 13:44:50,Tesla Cuts Prices Sharply as It Moves to Bolster Demand,The price reductions in the United States will make more of the company’s electric vehicles eligible for a federal tax credit.,https://www.nytimes.com/2023/01/13/business/tesla-price-cut.html,NYT,Tesla Cuts Prices Sharply as It Moves to Bolster Demand The price reductions in the United States will make more of the company’s electric vehicles eligible for a federal tax credit.,1,0
2023-01-15 12:00:06,The Week in Business: More Air Travel Chaos,Consumer prices continue to cool down. Goldman Sachs began one of its largest rounds of layoffs since the 2008 financial crisis. And Elon Musk is to go to trial over a 2018 tweet about Tesla.,https://www.nytimes.com/2023/01/15/business/the-week-in-business-airlines-faa-travel-disruptions.html,NYT,The Week in Business: More Air Travel Chaos Consumer prices continue to cool down. Goldman Sachs began one of its largest rounds of layoffs since the 2008 financial crisis. And Elon Musk is to go to trial over a 2018 tweet about Tesla.,1,1
2023-01-17 00:00:00,"Tesla video promoting self-driving was staged, engineer testifies",A 2016 video that Tesla used to promote its self-driving technology was staged to show capabilities like stopping at a red light and accelerating at a green,https://www.nbcnews.com/business/business-news/tesla-video-promoting-self-driving-was-staged-engineer-testifies-rcna66150,NBC,"Tesla video promoting self-driving was staged, engineer testifies A 2016 video that Tesla used to promote its self-driving technology was staged to show capabilities like stopping at a red light and accelerating at a green",1,0
2023-01-17 00:00:00,Trial starts over Musk's 2018 claim to take Tesla private,,https://www.nbcnews.com/now/video/trial-starts-over-musk-s-2018-claim-to-take-tesla-private-160075333504,NBC,Trial starts over Musk's 2018 claim to take Tesla private,1,1
2023-01-17 10:00:17,Elon Musk Goes to Trial Over His 2018 Plan to Take Tesla Private,Investors are seeking billions of dollars in damages for their losses after Mr. Musk posted a proposal on Twitter that never materialized.,https://www.nytimes.com/2023/01/17/business/elon-musk-tesla-trial-funding-secured.html,NYT,Elon Musk Goes to Trial Over His 2018 Plan to Take Tesla Private Investors are seeking billions of dollars in damages for their losses after Mr. Musk posted a proposal on Twitter that never materialized.,1,1
2023-01-18 00:00:00,Lawyers spar over whether Elon Musk misled investors with his tweets,Opening arguments kicked off Wednesday in a trial that is pitting Tesla against shareholders accusing the company of misleading them over a tweet by Elon Musk,https://www.nbcnews.com/business/business-news/tesla-funding-secured-lawsuit-elon-musk-shareholders-opening-statement-rcna66280,NBC,Lawyers spar over whether Elon Musk misled investors with his tweets Opening arguments kicked off Wednesday in a trial that is pitting Tesla against shareholders accusing the company of misleading them over a tweet by Elon Musk,1,1
2023-01-18 00:00:00,What to expect from Elon Musk’s trial over 2018 Tesla buyout tweets,,https://www.nbcnews.com/now/video/what-to-expect-from-elon-musk-s-trial-over-2018-tesla-buyout-tweets-160108101693,NBC,What to expect from Elon Musk’s trial over 2018 Tesla buyout tweets,1,1
2023-01-20 00:00:00,Elon Musk takes the witness stand in court trial over his failed attempt to take Tesla private,"The court trial to decide whether a tweet Elon Musk sent in 2018 cost Tesla investors millions of dollars will resume Friday, with Musk himself potentially taking the stand.",https://www.nbcnews.com/business/business-news/tesla-shareholder-lawsuit-trial-update-elon-musk-rcna66590,NBC,"Elon Musk takes the witness stand in court trial over his failed attempt to take Tesla private The court trial to decide whether a tweet Elon Musk sent in 2018 cost Tesla investors millions of dollars will resume Friday, with Musk himself potentially taking the stand.",1,1
2023-01-20 22:42:44,Elon Musk Says His Social Media Posts Did Not Drive Tesla’s Stock Price,The chief executive of Tesla testified in a federal civil trial about a 2018 plan to take the automaker private that fizzled out.,https://www.nytimes.com/2023/01/20/business/tesla-elon-musk-trial.html,NYT,Elon Musk Says His Social Media Posts Did Not Drive Tesla’s Stock Price The chief executive of Tesla testified in a federal civil trial about a 2018 plan to take the automaker private that fizzled out.,1,1
